 ,Area,Mean,Min,Max
1,395,255,255,255
2,278,255,255,255
3,121,255,255,255
4,425,255,255,255
5,287,255,255,255
6,290,255,255,255
7,200,255,255,255
8,191,255,255,255
9,177,255,255,255
10,249,255,255,255
11,349,255,255,255
12,338,255,255,255
13,202,255,255,255
14,305,255,255,255
15,119,255,255,255
16,239,255,255,255
17,215,255,255,255
18,349,255,255,255
19,211,255,255,255
20,258,255,255,255
21,195,255,255,255
22,174,255,255,255
23,346,255,255,255
24,240,255,255,255
25,355,255,255,255
26,233,255,255,255
27,195,255,255,255
28,367,255,255,255
29,199,255,255,255
30,172,255,255,255
31,290,255,255,255
32,360,255,255,255
33,283,255,255,255
34,204,255,255,255
35,84,255,255,255
36,198,255,255,255
37,265,255,255,255
38,218,255,255,255
39,221,255,255,255
40,265,255,255,255
41,198,255,255,255
42,459,255,255,255
43,286,255,255,255
44,475,255,255,255
45,157,255,255,255
46,276,255,255,255
47,151,255,255,255
48,253,255,255,255
49,209,255,255,255
50,184,255,255,255
51,352,255,255,255
52,150,255,255,255
53,175,255,255,255
54,153,255,255,255
55,90,255,255,255
56,367,255,255,255
57,176,255,255,255
58,177,255,255,255
59,410,255,255,255
60,396,255,255,255
61,283,255,255,255
62,166,255,255,255
63,767,255,255,255
64,266,255,255,255
65,297,255,255,255
66,157,255,255,255
67,297,255,255,255
68,221,255,255,255
69,153,255,255,255
70,221,255,255,255
71,268,255,255,255
72,223,255,255,255
73,188,255,255,255
74,185,255,255,255
75,161,255,255,255
76,165,255,255,255
77,179,255,255,255
78,96,255,255,255
79,466,255,255,255
80,172,255,255,255
81,201,255,255,255
82,173,255,255,255
83,169,255,255,255
84,347,255,255,255
85,147,255,255,255
86,219,255,255,255
87,214,255,255,255
88,429,255,255,255
89,203,255,255,255
90,194,255,255,255
91,207,255,255,255
92,260,255,255,255
93,267,255,255,255
94,226,255,255,255
95,220,255,255,255
96,332,255,255,255
97,279,255,255,255
98,146,255,255,255
99,238,255,255,255
100,250,255,255,255
101,177,255,255,255
102,226,255,255,255
103,384,255,255,255
104,417,255,255,255
105,318,255,255,255
106,159,255,255,255
107,290,255,255,255
108,85,255,255,255
109,211,255,255,255
110,220,255,255,255
111,130,255,255,255
112,181,255,255,255
113,279,255,255,255
114,140,255,255,255
115,186,255,255,255
116,181,255,255,255
117,315,255,255,255
118,342,255,255,255
119,323,255,255,255
120,312,255,255,255
121,285,255,255,255
122,236,255,255,255
123,238,255,255,255
124,194,255,255,255
125,275,255,255,255
126,221,255,255,255
127,184,255,255,255
128,344,255,255,255
129,451,255,255,255
130,308,255,255,255
131,199,255,255,255
132,351,255,255,255
133,269,255,255,255
134,164,255,255,255
135,264,255,255,255
136,324,255,255,255
137,271,255,255,255
138,450,255,255,255
139,110,255,255,255
140,191,255,255,255
141,174,255,255,255
142,190,255,255,255
143,260,255,255,255
144,287,255,255,255
145,283,255,255,255
146,562,255,255,255
147,433,255,255,255
148,262,255,255,255
149,236,255,255,255
150,190,255,255,255
151,97,255,255,255
152,130,255,255,255
153,172,255,255,255
154,278,255,255,255
155,325,255,255,255
156,228,255,255,255
157,244,255,255,255
158,282,255,255,255
159,418,255,255,255
160,277,255,255,255
161,280,255,255,255
162,228,255,255,255
163,221,255,255,255
164,290,255,255,255
165,597,255,255,255
166,270,255,255,255
167,180,255,255,255
168,193,255,255,255
169,321,255,255,255
170,219,255,255,255
171,633,255,255,255
172,260,255,255,255
173,390,255,255,255
174,102,255,255,255
175,114,255,255,255
176,833,255,255,255
177,336,255,255,255
178,283,255,255,255
179,537,255,255,255
180,394,255,255,255
181,110,255,255,255
182,279,255,255,255
183,97,255,255,255
184,377,255,255,255
185,229,255,255,255
186,264,255,255,255
187,280,255,255,255
188,206,255,255,255
189,672,255,255,255
190,884,255,255,255
191,455,255,255,255
192,281,255,255,255
193,464,255,255,255
194,164,255,255,255
195,381,255,255,255
196,125,255,255,255
197,382,255,255,255
198,205,255,255,255
199,356,255,255,255
200,206,255,255,255
201,464,255,255,255
202,122,255,255,255
203,430,255,255,255
204,219,255,255,255
205,259,255,255,255
206,113,255,255,255
207,238,255,255,255
208,388,255,255,255
209,228,255,255,255
210,248,255,255,255
211,175,255,255,255
212,115,255,255,255
213,166,255,255,255
214,260,255,255,255
215,355,255,255,255
216,208,255,255,255
217,280,255,255,255
218,197,255,255,255
219,308,255,255,255
220,279,255,255,255
221,210,255,255,255
222,310,255,255,255
223,125,255,255,255
224,431,255,255,255
225,213,255,255,255
226,412,255,255,255
227,356,255,255,255
228,351,255,255,255
229,295,255,255,255
230,208,255,255,255
231,94,255,255,255
232,322,255,255,255
233,259,255,255,255
234,193,255,255,255
235,500,255,255,255
236,263,255,255,255
237,338,255,255,255
238,435,255,255,255
239,218,255,255,255
240,108,255,255,255
241,399,255,255,255
242,206,255,255,255
243,82,255,255,255
244,161,255,255,255
245,296,255,255,255
246,218,255,255,255
247,238,255,255,255
248,519,255,255,255
249,203,255,255,255
250,215,255,255,255
251,295,255,255,255
252,412,255,255,255
253,189,255,255,255
254,293,255,255,255
255,132,255,255,255
256,179,255,255,255
257,220,255,255,255
258,282,255,255,255
259,193,255,255,255
260,361,255,255,255
261,224,255,255,255
262,189,255,255,255
263,276,255,255,255
264,135,255,255,255
265,138,255,255,255
266,215,255,255,255
267,378,255,255,255
268,150,255,255,255
269,187,255,255,255
270,131,255,255,255
271,230,255,255,255
272,181,255,255,255
273,571,255,255,255
274,268,255,255,255
275,138,255,255,255
276,91,255,255,255
277,246,255,255,255
278,249,255,255,255
279,391,255,255,255
280,168,255,255,255
281,500,255,255,255
282,93,255,255,255
283,910,255,255,255
284,334,255,255,255
285,193,255,255,255
286,122,255,255,255
287,691,255,255,255
288,329,255,255,255
289,204,255,255,255
290,188,255,255,255
291,156,255,255,255
292,488,255,255,255
293,279,255,255,255
294,141,255,255,255
295,487,255,255,255
296,141,255,255,255
297,212,255,255,255
298,127,255,255,255
299,248,255,255,255
300,517,255,255,255
301,225,255,255,255
302,328,255,255,255
303,264,255,255,255
304,187,255,255,255
305,206,255,255,255
306,350,255,255,255
307,261,255,255,255
308,254,255,255,255
309,274,255,255,255
310,220,255,255,255
311,311,255,255,255
312,214,255,255,255
313,690,255,255,255
314,340,255,255,255
315,259,255,255,255
316,195,255,255,255
317,204,255,255,255
318,485,255,255,255
319,428,255,255,255
320,341,255,255,255
321,269,255,255,255
322,233,255,255,255
323,261,255,255,255
324,238,255,255,255
325,109,255,255,255
326,293,255,255,255
327,228,255,255,255
328,162,255,255,255
329,429,255,255,255
330,133,255,255,255
331,464,255,255,255
332,179,255,255,255
333,561,255,255,255
334,124,255,255,255
335,391,255,255,255
336,431,255,255,255
337,501,255,255,255
338,209,255,255,255
339,249,255,255,255
340,205,255,255,255
341,343,255,255,255
342,123,255,255,255
343,189,255,255,255
344,180,255,255,255
345,306,255,255,255
346,441,255,255,255
347,220,255,255,255
348,125,255,255,255
349,285,255,255,255
350,223,255,255,255
351,315,255,255,255
352,321,255,255,255
353,164,255,255,255
354,281,255,255,255
355,118,255,255,255
356,128,255,255,255
357,191,255,255,255
358,339,255,255,255
359,295,255,255,255
360,392,255,255,255
361,313,255,255,255
362,230,255,255,255
363,259,255,255,255
364,76,255,255,255
365,158,255,255,255
366,265,255,255,255
367,268,255,255,255
368,226,255,255,255
369,294,255,255,255
370,134,255,255,255
371,318,255,255,255
372,433,255,255,255
373,142,255,255,255
374,156,255,255,255
375,169,255,255,255
376,242,255,255,255
377,721,255,255,255
378,130,255,255,255
379,484,255,255,255
380,159,255,255,255
381,320,255,255,255
382,419,255,255,255
383,235,255,255,255
384,305,255,255,255
385,173,255,255,255
386,341,255,255,255
387,284,255,255,255
388,178,255,255,255
389,104,255,255,255
390,173,255,255,255
391,162,255,255,255
392,180,255,255,255
393,611,255,255,255
394,468,255,255,255
395,174,255,255,255
396,146,255,255,255
397,192,255,255,255
398,194,255,255,255
399,123,255,255,255
400,192,255,255,255
401,161,255,255,255
402,428,255,255,255
403,243,255,255,255
404,296,255,255,255
405,183,255,255,255
406,350,255,255,255
407,287,255,255,255
408,132,255,255,255
409,292,255,255,255
410,227,255,255,255
411,173,255,255,255
412,157,255,255,255
413,208,255,255,255
414,263,255,255,255
415,425,255,255,255
416,324,255,255,255
417,354,255,255,255
418,308,255,255,255
419,308,255,255,255
420,214,255,255,255
421,404,255,255,255
422,223,255,255,255
423,209,255,255,255
424,485,255,255,255
425,155,255,255,255
426,148,255,255,255
427,278,255,255,255
428,139,255,255,255
429,125,255,255,255
430,434,255,255,255
431,331,255,255,255
432,532,255,255,255
433,155,255,255,255
434,187,255,255,255
435,694,255,255,255
436,459,255,255,255
437,304,255,255,255
438,240,255,255,255
439,220,255,255,255
440,232,255,255,255
441,137,255,255,255
442,325,255,255,255
443,225,255,255,255
444,246,255,255,255
445,189,255,255,255
446,196,255,255,255
447,250,255,255,255
448,124,255,255,255
449,173,255,255,255
450,208,255,255,255
451,312,255,255,255
452,315,255,255,255
453,307,255,255,255
454,103,255,255,255
455,212,255,255,255
456,209,255,255,255
457,389,255,255,255
458,225,255,255,255
