 ,Area,Mean,Min,Max
1,207,255,255,255
2,181,255,255,255
3,235,255,255,255
4,1703,255,255,255
5,2096,255,255,255
6,1257,255,255,255
7,1287,255,255,255
8,146,255,255,255
9,185,255,255,255
10,1485,255,255,255
11,1452,255,255,255
12,100,255,255,255
13,97,255,255,255
14,271,255,255,255
15,1694,255,255,255
16,332,255,255,255
17,1048,255,255,255
18,1334,255,255,255
19,459,255,255,255
20,1573,255,255,255
21,1335,255,255,255
22,1236,255,255,255
23,72,255,255,255
24,1399,255,255,255
25,1397,255,255,255
26,137,255,255,255
27,1642,255,255,255
28,1497,255,255,255
29,1284,255,255,255
30,747,255,255,255
31,1686,255,255,255
32,828,255,255,255
33,876,255,255,255
34,234,255,255,255
35,1472,255,255,255
36,211,255,255,255
37,119,255,255,255
38,600,255,255,255
39,249,255,255,255
40,191,255,255,255
41,658,255,255,255
42,771,255,255,255
43,890,255,255,255
44,225,255,255,255
45,773,255,255,255
46,790,255,255,255
47,997,255,255,255
48,759,255,255,255
49,267,255,255,255
50,1280,255,255,255
51,757,255,255,255
52,727,255,255,255
53,1416,255,255,255
54,661,255,255,255
55,1113,255,255,255
56,1100,255,255,255
57,979,255,255,255
58,1107,255,255,255
59,1249,255,255,255
60,102,255,255,255
61,1196,255,255,255
62,814,255,255,255
63,859,255,255,255
64,768,255,255,255
65,390,255,255,255
66,1171,255,255,255
67,1057,255,255,255
68,1228,255,255,255
69,1242,255,255,255
70,934,255,255,255
71,1080,255,255,255
72,1205,255,255,255
73,917,255,255,255
74,1297,255,255,255
75,854,255,255,255
76,1039,255,255,255
77,1203,255,255,255
78,845,255,255,255
79,895,255,255,255
80,993,255,255,255
81,909,255,255,255
82,1060,255,255,255
83,974,255,255,255
84,1081,255,255,255
85,1093,255,255,255
86,985,255,255,255
87,1212,255,255,255
88,1367,255,255,255
89,1025,255,255,255
90,881,255,255,255
91,1394,255,255,255
92,432,255,255,255
93,937,255,255,255
94,1035,255,255,255
95,1537,255,255,255
96,1364,255,255,255
97,1120,255,255,255
98,81,255,255,255
99,1115,255,255,255
100,1209,255,255,255
101,1404,255,255,255
102,1240,255,255,255
103,1320,255,255,255
104,1356,255,255,255
105,1326,255,255,255
106,1100,255,255,255
107,1527,255,255,255
108,1223,255,255,255
109,854,255,255,255
110,1053,255,255,255
111,1354,255,255,255
112,1430,255,255,255
113,274,255,255,255
114,1259,255,255,255
115,80,255,255,255
