 ,Area,Mean,Min,Max,X,Y,Perim.,Circ.,AR,Round,Solidity
1,1601,176.893,128,214,1048.594,215.402,171.107,0.687,1.764,0.567,0.919
2,1092,160.114,148,177,984.750,1701.926,125.539,0.871,1.097,0.912,0.954
3,607,156.684,145,175,1525.866,994.765,91.154,0.918,1.095,0.914,0.954
4,1344,159.288,146,175,1034.142,979.885,136.368,0.908,1.141,0.877,0.961
5,1321,158.967,145,174,1147.605,720.075,135.782,0.900,1.114,0.898,0.960
6,909,151.903,139,182,1824.510,679.664,111.983,0.911,1.005,0.995,0.956
7,766,159.734,148,175,458.279,460.906,103.740,0.894,1.191,0.840,0.949
8,1204,158.453,148,175,1228.723,456.130,129.539,0.902,1.054,0.949,0.959
9,173,162.405,151,175,535.107,442.829,47.941,0.946,1.076,0.929,0.923
10,502,158.361,146,174,1114.843,384.580,82.083,0.936,1.151,0.868,0.955
11,1210,157.644,148,174,1195.843,276.559,129.882,0.901,1.152,0.868,0.967
12,967,158.465,149,174,581.590,224.069,116.468,0.896,1.129,0.886,0.960
13,1114,157.047,147,174,575.288,171.928,124.953,0.897,1.101,0.908,0.959
14,822,156.320,143,175,1137.661,134.249,109.497,0.862,1.192,0.839,0.957
15,77,161.143,140,177,571.643,121.630,32.385,0.923,1.212,0.825,0.911
